년도,월,시도,시군구,읍면동(법정동),산업분류코드(대),산업분류명(대),판매량
2023,1,광주광역시,광산구,고룡동,A,"농업, 임업 및 어업",29316.0
2023,1,광주광역시,광산구,고룡동,C,제조업,1199067.0
2023,1,광주광역시,광산구,고룡동,D,"전기, 가스, 증기 및 공기 조절 공급업",1159.0
2023,1,광주광역시,광산구,고룡동,F,건설업,0.0
2023,1,광주광역시,광산구,고룡동,G,도매 및 소매업,2178.0
2023,1,광주광역시,광산구,고룡동,H,운수 및 창고업,5743.0
2023,1,광주광역시,광산구,고룡동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,고룡동,J,정보통신업,21770.0
2023,1,광주광역시,광산구,고룡동,K,금융 및 보험업,0.0
2023,1,광주광역시,광산구,고룡동,L,부동산업,42257.0
2023,1,광주광역시,광산구,고룡동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",5755.0
2023,1,광주광역시,광산구,고룡동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,고룡동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,고룡동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,고룡동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,광산동,A,"농업, 임업 및 어업",75097.0
2023,1,광주광역시,광산구,광산동,C,제조업,0.0
2023,1,광주광역시,광산구,광산동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,광산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,광산동,F,건설업,0.0
2023,1,광주광역시,광산구,광산동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,광산동,H,운수 및 창고업,7175.0
2023,1,광주광역시,광산구,광산동,I,숙박 및 음식점업,11123.0
2023,1,광주광역시,광산구,광산동,J,정보통신업,4034.0
2023,1,광주광역시,광산구,광산동,L,부동산업,0.0
2023,1,광주광역시,광산구,광산동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0
2023,1,광주광역시,광산구,광산동,O,"공공 행정, 국방 및 사회보장 행정",3991.0
2023,1,광주광역시,광산구,광산동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,남산동,A,"농업, 임업 및 어업",22395.0
2023,1,광주광역시,광산구,남산동,C,제조업,0.0
2023,1,광주광역시,광산구,남산동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,남산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,남산동,F,건설업,0.0
2023,1,광주광역시,광산구,남산동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,남산동,H,운수 및 창고업,2017.0
2023,1,광주광역시,광산구,남산동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,남산동,J,정보통신업,12275.0
2023,1,광주광역시,광산구,남산동,L,부동산업,9018.0
2023,1,광주광역시,광산구,남산동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,남산동,O,"공공 행정, 국방 및 사회보장 행정",9362.0
2023,1,광주광역시,광산구,남산동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,남산동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,남산동,R,"예술, 스포츠 및 여가관련 서비스업",0.0
2023,1,광주광역시,광산구,남산동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,내산동,A,"농업, 임업 및 어업",106793.0
2023,1,광주광역시,광산구,내산동,C,제조업,0.0
2023,1,광주광역시,광산구,내산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,내산동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,내산동,J,정보통신업,2885.0
2023,1,광주광역시,광산구,내산동,L,부동산업,0.0
2023,1,광주광역시,광산구,내산동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0
2023,1,광주광역시,광산구,내산동,O,"공공 행정, 국방 및 사회보장 행정",7564.0
2023,1,광주광역시,광산구,내산동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,내산동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,대산동,A,"농업, 임업 및 어업",16493.0
2023,1,광주광역시,광산구,대산동,C,제조업,0.0
2023,1,광주광역시,광산구,대산동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,대산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,대산동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,대산동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,대산동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,대산동,J,정보통신업,4616.0
2023,1,광주광역시,광산구,대산동,L,부동산업,45157.0
2023,1,광주광역시,광산구,대산동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,대산동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,대산동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,덕림동,A,"농업, 임업 및 어업",8331.0
2023,1,광주광역시,광산구,덕림동,C,제조업,2355772.0
2023,1,광주광역시,광산구,덕림동,D,"전기, 가스, 증기 및 공기 조절 공급업",10972.0
2023,1,광주광역시,광산구,덕림동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",106558.0
2023,1,광주광역시,광산구,덕림동,F,건설업,0.0
2023,1,광주광역시,광산구,덕림동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,덕림동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,덕림동,J,정보통신업,15222.0
2023,1,광주광역시,광산구,덕림동,L,부동산업,104296.0
2023,1,광주광역시,광산구,덕림동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,덕림동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,덕림동,Q,보건업 및 사회복지 서비스업,84478.0
2023,1,광주광역시,광산구,덕림동,R,"예술, 스포츠 및 여가관련 서비스업",0.0
2023,1,광주광역시,광산구,덕림동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,도덕동,A,"농업, 임업 및 어업",13262.0
2023,1,광주광역시,광산구,도덕동,C,제조업,0.0
2023,1,광주광역시,광산구,도덕동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,도덕동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,도덕동,F,건설업,0.0
2023,1,광주광역시,광산구,도덕동,G,도매 및 소매업,4288.0
2023,1,광주광역시,광산구,도덕동,H,운수 및 창고업,3058.0
2023,1,광주광역시,광산구,도덕동,I,숙박 및 음식점업,13561.0
2023,1,광주광역시,광산구,도덕동,J,정보통신업,32053.0
2023,1,광주광역시,광산구,도덕동,K,금융 및 보험업,0.0
2023,1,광주광역시,광산구,도덕동,L,부동산업,12402.0
2023,1,광주광역시,광산구,도덕동,O,"공공 행정, 국방 및 사회보장 행정",15525.0
2023,1,광주광역시,광산구,도덕동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,도덕동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,도덕동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,도산동,A,"농업, 임업 및 어업",16085.0
2023,1,광주광역시,광산구,도산동,C,제조업,31184.0
2023,1,광주광역시,광산구,도산동,D,"전기, 가스, 증기 및 공기 조절 공급업",72260.0
2023,1,광주광역시,광산구,도산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",59461.0
2023,1,광주광역시,광산구,도산동,F,건설업,2428.0
2023,1,광주광역시,광산구,도산동,G,도매 및 소매업,190927.0
2023,1,광주광역시,광산구,도산동,H,운수 및 창고업,33497.0
2023,1,광주광역시,광산구,도산동,I,숙박 및 음식점업,303497.0
2023,1,광주광역시,광산구,도산동,J,정보통신업,97034.0
2023,1,광주광역시,광산구,도산동,K,금융 및 보험업,0.0
2023,1,광주광역시,광산구,도산동,L,부동산업,690206.0
2023,1,광주광역시,광산구,도산동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,도산동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",31234.0
2023,1,광주광역시,광산구,도산동,O,"공공 행정, 국방 및 사회보장 행정",1443570.0
2023,1,광주광역시,광산구,도산동,P,교육 서비스업,214397.0
2023,1,광주광역시,광산구,도산동,Q,보건업 및 사회복지 서비스업,86213.0
2023,1,광주광역시,광산구,도산동,R,"예술, 스포츠 및 여가관련 서비스업",69161.0
2023,1,광주광역시,광산구,도산동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",114043.0
2023,1,광주광역시,광산구,도산동,U,국제 및 외국기관,0.0
2023,1,광주광역시,광산구,도천동,A,"농업, 임업 및 어업",9167.0
2023,1,광주광역시,광산구,도천동,C,제조업,6090799.0
2023,1,광주광역시,광산구,도천동,D,"전기, 가스, 증기 및 공기 조절 공급업",18944.0
2023,1,광주광역시,광산구,도천동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,도천동,F,건설업,8749.0
2023,1,광주광역시,광산구,도천동,G,도매 및 소매업,285478.0
2023,1,광주광역시,광산구,도천동,H,운수 및 창고업,143414.0
2023,1,광주광역시,광산구,도천동,I,숙박 및 음식점업,147702.0
2023,1,광주광역시,광산구,도천동,J,정보통신업,35714.0
2023,1,광주광역시,광산구,도천동,K,금융 및 보험업,0.0
2023,1,광주광역시,광산구,도천동,L,부동산업,369245.0
2023,1,광주광역시,광산구,도천동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,도천동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",48650.0
2023,1,광주광역시,광산구,도천동,O,"공공 행정, 국방 및 사회보장 행정",1185.0
2023,1,광주광역시,광산구,도천동,P,교육 서비스업,12032.0
2023,1,광주광역시,광산구,도천동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,도천동,R,"예술, 스포츠 및 여가관련 서비스업",21722.0
2023,1,광주광역시,광산구,도천동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",363498.0
2023,1,광주광역시,광산구,도호동,A,"농업, 임업 및 어업",0.0
2023,1,광주광역시,광산구,동림동,A,"농업, 임업 및 어업",30891.0
2023,1,광주광역시,광산구,동림동,C,제조업,0.0
2023,1,광주광역시,광산구,동림동,H,운수 및 창고업,953.0
2023,1,광주광역시,광산구,동림동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,동림동,J,정보통신업,2716.0
2023,1,광주광역시,광산구,동림동,L,부동산업,0.0
2023,1,광주광역시,광산구,동림동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,동산동,A,"농업, 임업 및 어업",345336.0
2023,1,광주광역시,광산구,동산동,C,제조업,0.0
2023,1,광주광역시,광산구,동산동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,동산동,F,건설업,0.0
2023,1,광주광역시,광산구,동산동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,동산동,H,운수 및 창고업,2067.0
2023,1,광주광역시,광산구,동산동,J,정보통신업,4718.0
2023,1,광주광역시,광산구,동산동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,동산동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,동산동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,동산동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,동호동,A,"농업, 임업 및 어업",29230.0
2023,1,광주광역시,광산구,동호동,D,"전기, 가스, 증기 및 공기 조절 공급업",9.0
2023,1,광주광역시,광산구,동호동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,동호동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,동호동,H,운수 및 창고업,2289.0
2023,1,광주광역시,광산구,동호동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,동호동,J,정보통신업,4087.0
2023,1,광주광역시,광산구,동호동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0
2023,1,광주광역시,광산구,동호동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,동호동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,두정동,A,"농업, 임업 및 어업",31412.0
2023,1,광주광역시,광산구,두정동,C,제조업,0.0
2023,1,광주광역시,광산구,두정동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,두정동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,두정동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,두정동,H,운수 및 창고업,1412.0
2023,1,광주광역시,광산구,두정동,J,정보통신업,0.0
2023,1,광주광역시,광산구,두정동,L,부동산업,2317.0
2023,1,광주광역시,광산구,두정동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,두정동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,등임동,A,"농업, 임업 및 어업",29599.0
2023,1,광주광역시,광산구,등임동,C,제조업,0.0
2023,1,광주광역시,광산구,등임동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,등임동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,등임동,F,건설업,0.0
2023,1,광주광역시,광산구,등임동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,등임동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,등임동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,등임동,J,정보통신업,5990.0
2023,1,광주광역시,광산구,등임동,L,부동산업,1990.0
2023,1,광주광역시,광산구,등임동,O,"공공 행정, 국방 및 사회보장 행정",250.0
2023,1,광주광역시,광산구,등임동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,등임동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,명도동,A,"농업, 임업 및 어업",4830.0
2023,1,광주광역시,광산구,명도동,C,제조업,0.0
2023,1,광주광역시,광산구,명도동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,명도동,E,"수도, 하수 및 폐기물 처리, 원료 재생업",0.0
2023,1,광주광역시,광산구,명도동,G,도매 및 소매업,0.0
2023,1,광주광역시,광산구,명도동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,명도동,J,정보통신업,0.0
2023,1,광주광역시,광산구,명도동,L,부동산업,0.0
2023,1,광주광역시,광산구,명도동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0
2023,1,광주광역시,광산구,명도동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,명화동,A,"농업, 임업 및 어업",34027.0
2023,1,광주광역시,광산구,명화동,F,건설업,0.0
2023,1,광주광역시,광산구,명화동,G,도매 및 소매업,2430.0
2023,1,광주광역시,광산구,명화동,H,운수 및 창고업,8632.0
2023,1,광주광역시,광산구,명화동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,명화동,J,정보통신업,15360.0
2023,1,광주광역시,광산구,명화동,L,부동산업,6196.0
2023,1,광주광역시,광산구,명화동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0
2023,1,광주광역시,광산구,명화동,O,"공공 행정, 국방 및 사회보장 행정",3349.0
2023,1,광주광역시,광산구,명화동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,박호동,A,"농업, 임업 및 어업",7336.0
2023,1,광주광역시,광산구,박호동,D,"전기, 가스, 증기 및 공기 조절 공급업",0.0
2023,1,광주광역시,광산구,박호동,F,건설업,0.0
2023,1,광주광역시,광산구,박호동,H,운수 및 창고업,0.0
2023,1,광주광역시,광산구,박호동,I,숙박 및 음식점업,0.0
2023,1,광주광역시,광산구,박호동,J,정보통신업,2314.0
2023,1,광주광역시,광산구,박호동,L,부동산업,9411.0
2023,1,광주광역시,광산구,박호동,M,"전문, 과학 및 기술 서비스업",0.0
2023,1,광주광역시,광산구,박호동,O,"공공 행정, 국방 및 사회보장 행정",0.0
2023,1,광주광역시,광산구,박호동,P,교육 서비스업,0.0
2023,1,광주광역시,광산구,박호동,Q,보건업 및 사회복지 서비스업,0.0
2023,1,광주광역시,광산구,박호동,R,"예술, 스포츠 및 여가관련 서비스업",0.0
2023,1,광주광역시,광산구,박호동,S,"협회 및 단체, 수리 및 기타 개인 서비스업",0.0
2023,1,광주광역시,광산구,복룡동,A,"농업, 임업 및 어업",229218.0
2023,1,광주광역시,광산구,복룡동,C,제조업,0.0
